,Country,Capital,Population,Area
0,Andorra,Andorra la Vella,84000,
1,United Arab Emirates,Abu Dhabi,4975593,
2,Afghanistan,Kabul,29121286,
3,Antigua and Barbuda,St. John's,86754,
4,Anguilla,The Valley,13254,
5,Albania,Tirana,2986952,
6,Armenia,Yerevan,2968000,
7,Angola,Luanda,13068161,
8,Antarctica,None,0,
9,Argentina,Buenos Aires,41343201,
10,American Samoa,Pago Pago,57881,
11,Austria,Vienna,8205000,
12,Australia,Canberra,21515754,
13,Aruba,Oranjestad,71566,
14,Åland,Mariehamn,26711,
15,Azerbaijan,Baku,8303512,
16,Bosnia and Herzegovina,Sarajevo,4590000,
17,Barbados,Bridgetown,285653,
18,Bangladesh,Dhaka,156118464,
19,Belgium,Brussels,10403000,
20,Burkina Faso,Ouagadougou,16241811,
21,Bulgaria,Sofia,7148785,
22,Bahrain,Manama,738004,
23,Burundi,Bujumbura,9863117,
24,Benin,Porto-Novo,9056010,
25,Saint Barthélemy,Gustavia,8450,
26,Bermuda,Hamilton,65365,
27,Brunei,Bandar Seri Begawan,395027,
28,Bolivia,Sucre,9947418,
29,Bonaire,Kralendijk,18012,
30,Brazil,Brasília,201103330,
31,Bahamas,Nassau,301790,
32,Bhutan,Thimphu,699847,
33,Bouvet Island,None,0,
34,Botswana,Gaborone,2029307,
35,Belarus,Minsk,9685000,
36,Belize,Belmopan,314522,
37,Canada,Ottawa,33679000,
38,Cocos [Keeling] Islands,West Island,628,
39,Democratic Republic of the Congo,Kinshasa,70916439,
40,Central African Republic,Bangui,4844927,
41,Republic of the Congo,Brazzaville,3039126,
42,Switzerland,Bern,7581000,
43,Ivory Coast,Yamoussoukro,21058798,
44,Cook Islands,Avarua,21388,
45,Chile,Santiago,16746491,
46,Cameroon,Yaoundé,19294149,
47,China,Beijing,1330044000,
48,Colombia,Bogotá,47790000,
49,Costa Rica,San José,4516220,
50,Cuba,Havana,11423000,
51,Cape Verde,Praia,508659,
52,Curacao,Willemstad,141766,
53,Christmas Island,Flying Fish Cove,1500,
54,Cyprus,Nicosia,1102677,
55,Czech Republic,Prague,10476000,
56,Germany,Berlin,81802257,
57,Djibouti,Djibouti,740528,
58,Denmark,Copenhagen,5484000,
59,Dominica,Roseau,72813,
60,Dominican Republic,Santo Domingo,9823821,
61,Algeria,Algiers,34586184,
62,Ecuador,Quito,14790608,
63,Estonia,Tallinn,1291170,
64,Egypt,Cairo,80471869,
65,Western Sahara,Laâyoune / El Aaiún,273008,
66,Eritrea,Asmara,5792984,
67,Spain,Madrid,46505963,
68,Ethiopia,Addis Ababa,88013491,
69,Finland,Helsinki,5244000,
70,Fiji,Suva,875983,
71,Falkland Islands,Stanley,2638,
72,Micronesia,Palikir,107708,
73,Faroe Islands,Tórshavn,48228,
74,France,Paris,64768389,
75,Gabon,Libreville,1545255,
76,United Kingdom,London,62348447,
77,Grenada,St. George's,107818,
78,Georgia,Tbilisi,4630000,
79,French Guiana,Cayenne,195506,
80,Guernsey,St Peter Port,65228,
81,Ghana,Accra,24339838,
82,Gibraltar,Gibraltar,27884,
83,Greenland,Nuuk,56375,
84,Gambia,Bathurst,1593256,
85,Guinea,Conakry,10324025,
86,Guadeloupe,Basse-Terre,443000,
87,Equatorial Guinea,Malabo,1014999,
88,Greece,Athens,11000000,
89,South Georgia and the South Sandwich Islands,Grytviken,30,
90,Guatemala,Guatemala City,13550440,
91,Guam,Hagåtña,159358,
92,Guinea-Bissau,Bissau,1565126,
93,Guyana,Georgetown,748486,
94,Hong Kong,Hong Kong,6898686,
95,Heard Island and McDonald Islands,None,0,
96,Honduras,Tegucigalpa,7989415,
97,Croatia,Zagreb,4491000,
98,Haiti,Port-au-Prince,9648924,
99,Hungary,Budapest,9982000,
100,Indonesia,Jakarta,242968342,
101,Ireland,Dublin,4622917,
102,Israel,None,7353985,
103,Isle of Man,Douglas,75049,
104,India,New Delhi,1173108018,
105,British Indian Ocean Territory,None,4000,
106,Iraq,Baghdad,29671605,
107,Iran,Tehran,76923300,
108,Iceland,Reykjavik,308910,
109,Italy,Rome,60340328,
110,Jersey,Saint Helier,90812,
111,Jamaica,Kingston,2847232,
112,Jordan,Amman,6407085,
113,Japan,Tokyo,127288000,
114,Kenya,Nairobi,40046566,
115,Kyrgyzstan,Bishkek,5776500,
116,Cambodia,Phnom Penh,14453680,
117,Kiribati,Tarawa,92533,
118,Comoros,Moroni,773407,
119,Saint Kitts and Nevis,Basseterre,51134,
120,North Korea,Pyongyang,22912177,
121,South Korea,Seoul,48422644,
122,Kuwait,Kuwait City,2789132,
123,Cayman Islands,George Town,44270,
124,Kazakhstan,Astana,15340000,
125,Laos,Vientiane,6368162,
126,Lebanon,Beirut,4125247,
127,Saint Lucia,Castries,160922,
128,Liechtenstein,Vaduz,35000,
129,Sri Lanka,Colombo,21513990,
130,Liberia,Monrovia,3685076,
131,Lesotho,Maseru,1919552,
132,Lithuania,Vilnius,2944459,
133,Luxembourg,Luxembourg,497538,
134,Latvia,Riga,2217969,
135,Libya,Tripoli,6461454,
136,Morocco,Rabat,31627428,
137,Monaco,Monaco,32965,
138,Moldova,Chişinău,4324000,
139,Montenegro,Podgorica,666730,
140,Saint Martin,Marigot,35925,
141,Madagascar,Antananarivo,21281844,
142,Marshall Islands,Majuro,65859,
143,Macedonia,Skopje,2062294,
144,Mali,Bamako,13796354,
145,Myanmar [Burma],Naypyitaw,53414374,
146,Mongolia,Ulan Bator,3086918,
147,Macao,Macao,449198,
148,Northern Mariana Islands,Saipan,53883,
149,Martinique,Fort-de-France,432900,
150,Mauritania,Nouakchott,3205060,
151,Montserrat,Plymouth,9341,
152,Malta,Valletta,403000,
153,Mauritius,Port Louis,1294104,
154,Maldives,Malé,395650,
155,Malawi,Lilongwe,15447500,
156,Mexico,Mexico City,112468855,
157,Malaysia,Kuala Lumpur,28274729,
158,Mozambique,Maputo,22061451,
159,Namibia,Windhoek,2128471,
160,New Caledonia,Noumea,216494,
161,Niger,Niamey,15878271,
162,Norfolk Island,Kingston,1828,
163,Nigeria,Abuja,154000000,
164,Nicaragua,Managua,5995928,
165,Netherlands,Amsterdam,16645000,
166,Norway,Oslo,5009150,
167,Nepal,Kathmandu,28951852,
168,Nauru,Yaren,10065,
169,Niue,Alofi,2166,
170,New Zealand,Wellington,4252277,
171,Oman,Muscat,2967717,
172,Panama,Panama City,3410676,
173,Peru,Lima,29907003,
174,French Polynesia,Papeete,270485,
175,Papua New Guinea,Port Moresby,6064515,
176,Philippines,Manila,99900177,
177,Pakistan,Islamabad,184404791,
178,Poland,Warsaw,38500000,
179,Saint Pierre and Miquelon,Saint-Pierre,7012,
180,Pitcairn Islands,Adamstown,46,
181,Puerto Rico,San Juan,3916632,
182,Palestine,None,3800000,
183,Portugal,Lisbon,10676000,
184,Palau,Melekeok,19907,
185,Paraguay,Asunción,6375830,
186,Qatar,Doha,840926,
187,Réunion,Saint-Denis,776948,
188,Romania,Bucharest,21959278,
189,Serbia,Belgrade,7344847,
190,Russia,Moscow,140702000,
191,Rwanda,Kigali,11055976,
192,Saudi Arabia,Riyadh,25731776,
193,Solomon Islands,Honiara,559198,
194,Seychelles,Victoria,88340,
195,Sudan,Khartoum,35000000,
196,Sweden,Stockholm,9828655,
197,Singapore,Singapore,4701069,
198,Saint Helena,Jamestown,7460,
199,Slovenia,Ljubljana,2007000,
200,Svalbard and Jan Mayen,Longyearbyen,2550,
201,Slovakia,Bratislava,5455000,
202,Sierra Leone,Freetown,5245695,
203,San Marino,San Marino,31477,
204,Senegal,Dakar,12323252,
205,Somalia,Mogadishu,10112453,
206,Suriname,Paramaribo,492829,
207,South Sudan,Juba,8260490,
208,São Tomé and Príncipe,São Tomé,175808,
209,El Salvador,San Salvador,6052064,
210,Sint Maarten,Philipsburg,37429,
211,Syria,Damascus,22198110,
212,Swaziland,Mbabane,1354051,
213,Turks and Caicos Islands,Cockburn Town,20556,
214,Chad,N'Djamena,10543464,
215,French Southern Territories,Port-aux-Français,140,
216,Togo,Lomé,6587239,
217,Thailand,Bangkok,67089500,
218,Tajikistan,Dushanbe,7487489,
219,Tokelau,None,1466,
220,East Timor,Dili,1154625,
221,Turkmenistan,Ashgabat,4940916,
222,Tunisia,Tunis,10589025,
223,Tonga,Nuku'alofa,122580,
224,Turkey,Ankara,77804122,
225,Trinidad and Tobago,Port of Spain,1228691,
226,Tuvalu,Funafuti,10472,
227,Taiwan,Taipei,22894384,
228,Tanzania,Dodoma,41892895,
229,Ukraine,Kiev,45415596,
230,Uganda,Kampala,33398682,
231,U.S. Minor Outlying Islands,None,0,
232,United States,Washington,310232863,
233,Uruguay,Montevideo,3477000,
234,Uzbekistan,Tashkent,27865738,
235,Vatican City,Vatican City,921,
236,Saint Vincent and the Grenadines,Kingstown,104217,
237,Venezuela,Caracas,27223228,
238,British Virgin Islands,Road Town,21730,
239,U.S. Virgin Islands,Charlotte Amalie,108708,
240,Vietnam,Hanoi,89571130,
241,Vanuatu,Port Vila,221552,
242,Wallis and Futuna,Mata-Utu,16025,
243,Samoa,Apia,192001,
244,Kosovo,Pristina,1800000,
245,Yemen,Sanaa,23495361,
246,Mayotte,Mamoudzou,159042,
247,South Africa,Pretoria,49000000,
248,Zambia,Lusaka,13460305,
249,Zimbabwe,Harare,11651858,
